0,-1252.72541042681,-4.06101780561074,1248.6643926212
0.001,-1252.86346869772,-3.86428832433111,1248.99918037339
0.002,-1253.00306094942,-9.68564307423741,1243.31741787518
0.003,-1253.1441871819,-19.9749974368184,1233.16918974508
0.004,-1253.28838137596,-19.4874233650079,1233.80095801095
0.005,-1253.43410955081,-25.3060222796309,1228.12808727118
0.006,-1253.58137170645,-25.026307277342,1228.55506442911
0.007,-1253.73170182366,-25.0507621503121,1228.68093967335
0.008,-1253.88203194087,-30.8279894941969,1223.05404244667
0.009,-1254.03696400045,-30.5502830948994,1223.48668090555
0.01,-1254.19189606003,-30.5746095979372,1223.61728646209
0.011,-1254.34989608118,-36.3353664839814,1218.0145295972
0.012,-1254.50943008312,-36.0584308087189,1218.4509992744
0.013,-1254.67203204664,-36.0827205392761,1218.58931150736
0.014,-1254.83616799094,-41.8270810503684,1213.00908694057
0.015,-1255.00183791603,-41.5509230406276,1213.4509148754
0.016,-1255.16904182191,-41.5750706218424,1213.59397120007
0.017,-1255.33931368937,-47.3030551721796,1208.03625851719
0.018,-1255.5126535184,-47.027715908095,1208.48493761031
0.019,-1255.68599334743,-47.0518245667563,1208.63416878067
0.02,-1255.86240113804,-52.7634748696191,1203.09892626842
0.021,-1256.04034290943,-52.4889733736433,1203.55136953579
0.022,-1256.2213526424,-52.5127794537781,1203.70857318862
0.023,-1256.40389635616,-58.2081864018945,1198.19570995427
0.024,-1256.58797405071,-57.9343500818815,1198.65362396883
0.025,-1256.77358572604,-57.9583245995577,1198.81526112648
0.026,-1256.96226536295,-63.6375433609535,1193.324722002
0.027,-1257.15247898065,-63.3643169972092,1193.78816198344
0.028,-1257.34576055992,-63.3883786117932,1193.95738194813
0.029,-1257.53904213919,-69.0512386721615,1188.48780346703
0.03,-1257.73692566083,-68.7791141356581,1188.95781152517
0.031,-1257.93480918247,-68.8028185895121,1189.13199059296
0.032,-1258.13576066568,-74.4495348354482,1183.68622583023
0.033,-1258.33824612968,-74.1783755784516,1184.15987055123
0.034,-1258.54379955526,-74.2021395762358,1184.34165997902
0.035,-1258.75088696162,-79.8325696658448,1178.91831729578
0.036,-1258.95950834878,-79.562193369512,1179.39731497927
0.037,-1259.16966371672,-79.586057369079,1179.58360634764
0.038,-1259.38288704623,-85.2001191083384,1174.18276793789
0.039,-1259.59764435654,-84.9304351558444,1174.6672092007
0.04,-1259.81393564763,-84.9539936308513,1174.85994201678
0.041,-1260.0332949003,-90.5530981054012,1169.4801967949
0.042,-1260.25265415296,-90.2835755854181,1169.96907856754
0.043,-1260.47508136721,-90.3071276775587,1170.16795368965
0.044,-1260.70057654303,-95.8899604045524,1164.81061613848
0.045,-1260.92760569963,-95.6211886600328,1165.3064170396
0.046,-1261.15616883703,-95.6449161616347,1165.5112526754
0.047,-1261.38626595521,-101.211566427395,1160.17469952782
0.048,-1261.61789705418,-100.943972178275,1160.67392487591
0.049,-1261.85259611473,-100.967612705638,1160.88498340909
0.05,-1262.09036313685,-106.51824374963,1155.57211938722
0.051,-1262.32813015897,-106.251566795307,1156.07656336366
0.052,-1262.56896514267,-106.2750699621,1156.29389518057
0.053,-1262.81286808794,-111.809687443481,1151.00318064446
0.054,-1263.05677103322,-111.543801372093,1151.51296966113
0.055,-1263.30374194007,-111.56698415555,1151.73675778452
0.056,-1263.55224682771,-117.086619780322,1146.46562704739
0.057,-1263.80228569613,-116.820791289046,1146.98149440708
0.058,-1264.05539252613,-116.84444622757,1147.21094629856
0.059,-1264.31003333692,-122.347897630124,1141.9621357068
0.06,-1264.56774210929,-122.083341403354,1142.48440070594
0.061,-1264.82698486244,-122.106547678141,1142.7204371843
0.062,-1265.08776159638,-127.593914864868,1137.49384673151
0.063,-1265.3516062919,-127.330300174962,1138.02130611694
0.064,-1265.61545098741,-127.353200047465,1138.26225093994
0.065,-1265.8823636445,-132.824173956808,1133.05818968769
0.066,-1266.15081028238,-132.560453991812,1133.59035629057
0.067,-1266.42079090105,-132.583161337444,1133.83762956361
0.068,-1266.69230550051,-138.039799554795,1128.65250594572
0.069,-1266.96535408075,-137.777472608377,1129.18788147237
0.07,-1267.23993664178,-137.800135695278,1129.4398009465
0.071,-1267.5160531836,-143.240761937948,1124.27529124565
0.072,-1267.79370370621,-142.978794870187,1124.81490883602
0.073,-1268.07135422882,-143.001579475175,1125.06977475364
0.074,-1268.352072713,-148.426776755726,1119.92529595727
0.075,-1268.63432517797,-148.165614418408,1120.46871075956
0.076,-1268.91657764294,-148.188278303091,1120.72829933985
0.077,-1269.2003640887,-153.597808243633,1115.60255584507
0.078,-1269.48568451525,-153.337630407827,1116.14805410742
0.079,-1269.77100494179,-153.360049304566,1116.41095563722
0.08,-1270.05785934913,-158.754571793421,1111.30328755571
0.081,-1270.34624773725,-158.494957530226,1111.85129020702
0.082,-1270.63617010616,-158.517498839215,1112.11867126694
0.083,-1270.92609247507,-163.896230581083,1107.02986189399
0.084,-1271.21754882477,-163.637817088424,1107.57973173635
0.085,-1271.50900517447,-163.660155662156,1107.84884951231
0.086,-1271.80199550495,-169.024302182415,1102.77769332253
0.087,-1272.09498583544,-168.766116453722,1103.32886938172
0.088,-1272.38797616593,-168.788436180263,1103.59953998567
0.089,-1272.68403445799,-174.136844360143,1098.54719009785
0.09,-1272.97855876926,-173.879856895879,1099.09870187338
0.091,-1273.27461706132,-173.902352636744,1099.37226442458
0.092,-1273.57067535339,-179.235498196776,1094.33517715661
0.093,-1273.86826762624,-178.978865962364,1094.88940166388
0.094,-1274.16585989909,-179.001042484596,1095.16481741449
